Country;2004;2008;2009;2010;2011;2012;2013;2014
Total;7363000;7736000;7864000;7984000;8121000;8233000;8330000;8441000
United Kingdom;5187000;5171000;5199000;5243000;5176000;5270000;5337000;5359000
India;191000;209000;229000;272000;277000;285000;279000;290000
Poland;47000;113000;111000;127000;151000;145000;143000;178000
Pakistan;56000;97000;85000;91000;104000;123000;135000;134000
Bangladesh;129000;106000;117000;124000;138000;137000;133000;109000
Ireland;124000;112000;114000;115000;115000;114000;111000;100000
Nigeria;68000;87000;97000;96000;120000;104000;97000;96000
Romania;-;27000;41000;47000;52000;61000;74000;84000
Sri Lanka;50000;76000;71000;76000;92000;89000;86000;83000
Italy;46000;39000;43000;47000;54000;67000;68000;79000
Somalia;49000;65000;66000;74000;71000;60000;62000;76000
France;40000;66000;58000;54000;76000;62000;68000;72000
Jamaica;75000;84000;84000;81000;80000;80000;79000;70000
Ghana;56000;63000;63000;52000;55000;51000;65000;66000
Kenya;73000;70000;77000;62000;59000;66000;77000;64000
United States;45000;59000;58000;60000;61000;71000;67000;62000
Australia;49000;44000;47000;43000;43000;47000;45000;56000
Germany;46000;45000;43000;57000;54000;53000;53000;52000
Afghanistan;-;39000;37000;28000;37000;47000;39000;51000
Turkey;43000;41000;47000;50000;50000;52000;51000;49000
Philippines;20000;35000;34000;41000;43000;46000;47000;48000
South Africa;56000;66000;65000;66000;71000;59000;56000;47000
Portugal;43000;37000;47000;36000;40000;41000;43000;45000
Lithuania;-;33000;39000;33000;57000;45000;49000;44000
Spain;24000;29000;27000;25000;28000;29000;33000;43000
Iraq;26000;29000;30000;35000;30000;32000;34000;34000
Bulgaria;-;20000;22000;32000;27000;34000;32000;32000
Iran;26000;23000;26000;31000;34000;33000;32000;30000
Brazil;18000;41000;41000;25000;35000;23000;27000;30000
New Zealand;24000;21000;27000;30000;24000;22000;31000;26000
Uganda;34000;32000;32000;27000;27000;35000;31000;25000
Mauritius;18000;23000;22000;24000;27000;26000;26000;25000
Nepal;-;-;16000;12000;13000;17000;26000;25000
Greece;13000;13000;11000;14000;14000;14000;18000;25000
China;20000;30000;27000;37000;45000;32000;33000;24000
Latvia;-;-;-;12000;10000;15000;13000;24000
Zimbabwe;27000;22000;20000;23000;22000;19000;22000;23000
Canada;17000;16000;21000;14000;22000;26000;17000;23000
Hungary;-;-;10000;12000;17000;19000;27000;22000
Cyprus (Not Otherwise Specified);46000;18000;18000;13000;12000;14000;15000;22000
Malaysia;20000;23000;17000;16000;22000;18000;19000;19000
Netherlands;-;12000;11000;11000;10000;15000;14000;19000
Hong Kong (Special Admin Reg Of China);26000;24000;23000;21000;18000;21000;17000;18000
Kosovo;-;-;-;-;-;17000;13000;18000
Japan;18000;17000;18000;22000;29000;26000;23000;17000
Tanzania;16000;14000;15000;14000;14000;14000;16000;17000
Colombia;15000;14000;18000;15000;14000;21000;25000;16000
Russia;41000;14000;15000;19000;22000;20000;20000;16000
Sierra Leone;10000;17000;13000;15000;11000;10000;11000;16000
Vietnam;11000;11000;13000;15000;16000;17000;15000;15000
Egypt;-;13000;11000;-;13000;10000;10000;14000
Ecuador;-;-;-;-;-;-;-;14000
Trinidad And Tobago;11000;13000;16000;14000;-;12000;13000;13000
Morocco;-;11000;18000;15000;13000;14000;10000;13000
Singapore;-;-;-;10000;-;12000;-;13000
China (Taiwan);-;-;-;-;-;-;-;13000
Guyana;12000;15000;13000;15000;13000;14000;14000;12000
Ethiopia;10000;13000;12000;10000;13000;13000;11000;12000
Saudi Arabia;-;-;-;-;-;12000;13000;11000
Lebanon;-;-;17000;10000;10000;11000;13000;11000
Cyprus (Non-European Union);-;10000;10000;-;-;12000;14000;11000
Denmark;-;-;-;-;-;-;-;11000
Sweden;10000;-;-;15000;14000;15000;11000;10000
Ukraine;-;-;-;-;-;10000;11000;10000
Slovakia;-;-;12000;-;12000;10000;10000;10000
Korea (South);-;10000;-;10000;11000;11000;13000;-
Israel;-;-;-;-;-;15000;10000;-
Albania;-;-;12000;13000;10000;10000;10000;-
Barbados;10000;-;-;-;12000;11000;-;-
Congo (Democratic Republic);-;-;11000;11000;10000;11000;-;-
Cyprus (European Union);-;12000;15000;13000;18000;11000;-;-
Algeria;-;11000;-;14000;15000;11000;-;-
All other countries of birth;366000;381000;352000;345000;338000;264000;313000;350000
